,DS1.Bal.Dwn.S.R1,DS1.Bal.Dwn.S.R2,DS1.Bal.Dwn.S.R3,DS1.Bal.Dwn.W.R1,DS1.Bal.Dwn.W.R2,DS1.Bal.Dwn.W.R3,DS1.Bal.Up.S.R1,DS1.Bal.Up.S.R2,DS1.Bal.Up.S.R3,DS1.Bal.Up.W.R1,DS1.Bal.Up.W.R2,DS1.Bal.Up.W.R3,DS1.Cen.S.R1,DS1.Cen.S.R2,DS1.Cen.S.R3,DS1.Cen.W.R1,DS1.Cen.W.R2,DS1.Cen.W.R3,DS1.Pine.S.R1,DS1.Pine.S.R2,DS1.Pine.S.R3,DS1.Pine.W.R1,DS1.Pine.W.R2,DS1.Pine.W.R3,DS1.Wtlnds.S.R1,DS1.Wtlnds.S.R2,DS1.Wtlnds.S.R3,DS1.Wtlnds.W.R1,DS1.Wtlnds.W.R2,DS1.Wtlnds.W.R3,DS2.Bal.Dwn.S.R1,DS2.Bal.Dwn.S.R2,DS2.Bal.Dwn.S.R3,DS2.Bal.Dwn.W.R1,DS2.Bal.Dwn.W.R2,DS2.Bal.Dwn.W.R3,DS2.Bal.Up.S.R1,DS2.Bal.Up.S.R2,DS2.Bal.Up.S.R3,DS2.Bal.Up.W.R1,DS2.Bal.Up.W.R2,DS2.Bal.Up.W.R3,DS2.Cen.S.R1,DS2.Cen.S.R2,DS2.Cen.S.R3,DS2.Cen.W.R1,DS2.Cen.W.R2,DS2.Cen.W.R3,DS2.Pine.S.R1,DS2.Pine.S.R2,DS2.Pine.S.R3,DS2.Pine.W.R1,DS2.Pine.W.R2,DS2.Pine.W.R3,DS2.Wtlnds.S.R1,DS2.Wtlnds.S.R2,DS2.Wtlnds.S.R3,DS2.Wtlnds.W.R1,DS2.Wtlnds.W.R2,DS2.Wtlnds.W.R3
k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__NA;s__NA,3062,3096,2975,892,869,889,413,436,408,138,140,120,8238,8389,8159,116,138,133,29347,29819,29257,452,457,421,12286,12215,12276,700,725,689,24116,24151,24020,2659,2694,2639,18586,18650,18367,38,51,35,24270,24214,24139,2,1,1,0,0,0,347,341,354,24853,25057,24732,289,308,257
k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Pirellulales;f__Pirellulaceae;g__Pirellula;s__NA,14757,14650,14710,966,939,965,3117,3173,3163,71,64,81,14312,14480,14334,145,163,150,23272,23138,23172,448,447,451,7351,7361,7499,715,705,755,22161,22117,22171,2453,2479,2459,19559,19384,19473,41,41,37,29203,29494,29176,5,2,3,0,0,0,384,404,358,11164,11244,11278,73,74,83
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,15515,15426,15333,0,0,0,0,0,0,133,144,147,0,0,0,140,141,164,14512,14571,14229,1534,1514,1517,10394,10425,10425,5,9,7,98549,98862,99535,2,2,2,2,2,2,558,550,577,2165,2182,2137,2470,2436,2422
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Terrimonas;s__NA,21721,21765,21689,165,140,157,7442,7526,7467,115,111,118,13710,13772,13647,87,77,86,14191,14176,14154,516,468,514,3312,3238,3367,700,723,656,29528,29676,29465,3044,2969,3137,31643,31669,31584,23,30,18,15315,15401,15360,1,0,0,0,0,0,253,264,236,3035,2961,3127,429,410,424
k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Solirubrobacterales;f__67-14;g__NA;s__NA,0,0,0,36,29,28,0,0,0,16,20,14,0,0,0,0,0,0,4894,4936,4939,70,69,61,0,0,0,225,217,242,14331,14151,14268,1675,1675,1737,9879,9843,9854,23,17,29,96618,96870,96970,3,4,3,1,0,2,338,343,353,16151,16261,16112,87,109,105
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Lysobacterales;f__Lysobacteraceae;g__Arenimonas;s__NA,2933,2968,3009,2711,2780,2698,918,944,877,268,260,256,0,0,0,0,0,0,11362,11380,11339,334,337,358,1208,1249,1203,872,878,898,25927,25886,26029,3817,3835,3853,38251,38364,38270,86,98,75,47467,47266,47501,7,8,7,1,0,0,952,932,999,3862,3866,3846,372,364,360
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__NA;s__NA,0,0,0,330,322,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,871,868,27995,28415,27991,4908,5001,4927,20566,20486,20604,73,89,63,58359,58535,58457,2,0,0,0,0,0,772,791,716,24936,24706,24815,152,137,158
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__NA;g__NA;s__NA,1802,1798,1878,694,740,677,186,185,192,2,0,1,0,0,0,0,0,0,4698,4743,4602,188,216,220,2228,2282,2211,350,349,353,26242,26191,26339,3813,3771,3777,35034,35094,34996,78,62,72,42128,42133,42209,1,1,0,1,2,1,332,313,308,20819,20848,20860,155,169,162
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Undibacterium;s__NA,0,0,0,94,100,96,69,67,71,20,18,19,0,0,0,1314,1338,1269,0,0,0,3713,3752,3672,0,0,0,2151,2081,2164,1386,1414,1374,696,686,702,281,294,290,18,29,24,43092,43046,43061,8,8,9,0,0,0,5556,5621,5606,16576,16708,16517,63693,63701,63992
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiales_Incertae_Sedis;g__NA;s__NA,436,456,424,3171,3185,3215,445,440,495,1,2,1,0,0,0,182,186,177,0,0,0,137,155,145,0,0,0,5044,5069,5116,30782,30749,30812,5458,5453,5466,50144,50118,49868,179,195,195,19437,19520,19534,1,1,3,0,0,0,487,489,520,20904,20590,20832,712,725,738
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__MND1;s__NA,6500,6435,6638,17,23,21,5556,5512,5657,64,54,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25959,25898,25941,6211,6126,6189,26256,26086,26132,20,19,18,39483,39660,39055,5,5,7,2,2,2,476,463,482,26782,26572,26701,87,104,72
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Fuscovulum;s__NA,0,0,0,2723,2723,2786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2434,2326,2470,0,0,0,10439,10504,10500,13295,13099,13268,2381,2411,2355,28745,28731,28699,81,85,78,64207,64027,64126,5,3,3,1,2,2,1607,1647,1563,7535,7464,7502,3811,3782,3919
k__Bacteria;p__Actinomycetota;c__MB-A2-108;o__NA;f__NA;g__NA;s__NA,1190,1116,1216,94,89,83,582,581,543,78,87,74,7517,7456,7604,29,29,35,7273,7315,7404,57,51,51,6768,6816,6734,180,178,182,8494,8594,8591,1416,1402,1413,9416,9593,9402,23,27,26,45791,45932,45760,0,0,0,0,0,0,253,242,254,45226,45239,45364,32,36,31
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__NA,0,0,0,347,337,354,0,0,0,47,47,48,6495,6547,6540,1576,1530,1516,0,0,0,16922,16870,16805,3811,3695,3830,44481,44259,44477,12020,12019,11967,2343,2236,2325,2014,1947,1971,27,25,27,25236,25290,25055,27,26,28,2,3,2,4751,4712,4752,4753,4842,4898,4038,4167,4017
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20;g__NA;s__NA,22640,22551,22438,750,735,727,4280,4295,4307,123,128,129,0,0,0,79,71,74,4500,4469,4448,529,561,513,2707,2735,2706,1042,1094,1066,30636,30654,30343,5704,5689,5752,20497,20489,20491,29,23,36,22591,22617,22407,3,3,0,0,0,0,571,571,518,10696,10731,10724,326,353,306
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Ferruginibacter;s__NA,9613,9569,9487,220,205,219,4229,4209,4300,98,103,100,842,826,846,99,93,109,3145,3137,3217,313,326,336,1707,1661,1711,1920,1921,1946,35120,35434,35017,4884,4921,4915,40944,40987,41113,40,48,38,20655,20589,20704,2,3,1,0,0,0,168,157,177,1338,1313,1288,188,193,177
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Bryobacter;s__NA,28059,28170,28151,84,86,91,5363,5435,5402,12,12,15,11606,11515,11646,0,0,0,3301,3157,3336,0,0,0,1270,1298,1250,200,209,198,20868,21034,20869,1318,1349,1325,21738,21657,21808,15,11,15,24574,24362,24563,0,0,0,1,1,1,205,207,221,5730,5685,5691,0,0,0
k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Aggregatilineales;f__A4b;g__NA;s__NA,7821,7784,7677,29,29,27,1783,1659,1835,53,57,51,54122,54218,54368,0,0,0,15842,15914,15917,92,89,85,8144,7997,8122,1542,1526,1527,4986,4983,4920,2266,2210,2271,8694,8688,8828,23,18,19,11555,11494,11473,1,1,1,0,0,0,247,221,271,6006,5930,5878,488,477,513
k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Anaerolinea;s__NA,0,0,0,0,0,0,0,0,0,6,8,6,88877,88829,88889,62,68,60,2535,2469,2507,45,48,53,6332,6385,6316,30,31,21,869,872,872,107,92,95,251,245,263,0,0,0,11245,11334,11282,0,0,0,0,0,0,90,86,86,12099,12104,12114,51,66,52
k__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Roseiflexaceae;g__NA;s__NA,9364,9434,9392,32,36,20,2265,2248,2332,18,28,16,84369,84223,84535,54,47,57,3695,3713,3691,259,276,267,2000,2064,2013,290,297,329,3840,3917,3644,758,782,724,4219,4219,4158,3,1,5,9210,9250,9178,0,0,0,0,0,0,264,252,289,1359,1358,1309,142,138,152
k__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Thermomicrobiales;f__JG30-KF-CM45;g__NA;s__NA,377,371,379,155,145,141,0,0,0,68,66,74,15393,15329,15323,74,62,66,13209,13050,13231,322,284,349,916,865,858,195,190,195,11446,11349,11484,1618,1620,1638,9149,9092,9156,23,36,18,61718,61554,61881,3,4,1,2,3,3,465,457,443,5668,5660,5643,260,244,277
k__Bacteria;p__Actinomycetota;c__Thermoleophilia;o__Gaiellales;f__NA;g__NA;s__NA,330,312,329,597,582,604,417,431,443,0,0,0,120,117,122,261,270,256,707,677,683,0,0,0,4270,4292,4298,1508,1510,1515,14459,14376,14624,2482,2476,2494,11831,11745,11871,59,54,67,50216,49923,50328,2,1,2,0,0,0,304,322,315,33003,33063,32988,286,280,274
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Tabrizicola;s__NA,0,0,0,6357,6358,6310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,299,324,0,0,0,2501,2471,2546,21941,22110,22020,3557,3437,3551,44027,43913,44234,200,180,199,33680,33593,33619,16,26,12,0,0,0,1330,1324,1293,3819,3827,3803,318,314,332
k__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__NA;g__NA;s__NA,2238,2291,2227,11530,11437,11754,1476,1480,1470,439,450,420,8899,8872,9061,1697,1679,1689,10831,10791,10813,1995,1978,1935,7852,7840,7878,2193,2225,2256,15155,15167,15179,5096,5213,5017,25602,25762,25780,153,162,142,8854,9015,8820,12,11,9,0,0,0,2577,2567,2519,6132,6199,6136,1546,1596,1512
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae;g__Ellin6067;s__NA,3535,3488,3508,37,36,36,3316,3324,3399,45,52,47,0,0,0,124,123,137,0,0,0,474,479,481,0,0,0,556,524,545,15252,15162,15461,2680,2689,2594,20822,20898,20668,15,20,12,27426,27476,27346,1,2,1,1,1,1,178,179,178,38414,38250,38277,529,520,485
k__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__NA,0,0,0,51,47,57,0,0,0,0,0,0,84369,83965,84344,15675,15807,15655,0,0,0,3935,3921,3959,0,0,0,461,511,481,0,0,0,693,721,729,0,0,0,5,4,3,1068,1079,1033,27,18,31,0,0,0,5342,5320,5344,149,154,156,1517,1505,1495
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__R7C24;f__NA;g__NA;s__NA,12167,12193,12423,1746,1723,1765,4786,4759,4778,333,330,329,902,929,824,83,72,77,5013,5002,4917,201,200,195,5623,5675,5588,1768,1718,1856,27754,27573,27848,4915,4896,4893,37362,37322,37668,96,81,100,6462,6468,6463,1,1,1,0,0,0,132,122,138,2525,2530,2555,258,251,241
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Chthoniobacterales;f__Chthoniobacteraceae;g__Chthoniobacter;s__NA,9967,9898,9861,433,397,431,5096,5131,5089,93,88,75,6315,6219,6231,100,98,79,7154,7266,7197,0,0,0,1271,1236,1318,130,127,150,21069,21158,21060,2041,1969,2121,36104,36088,35802,17,16,21,18214,18175,18206,3,2,3,0,0,0,78,83,85,1231,1171,1305,93,100,82
k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__NA;s__NA,1001,1031,954,542,517,549,0,0,0,112,116,104,0,0,0,0,0,0,6447,6461,6400,0,0,0,187,188,194,250,274,250,42453,42612,42415,4053,4024,3958,31805,31814,32102,53,48,44,17409,17441,17437,8,9,10,0,0,0,388,375,377,3546,3425,3487,230,199,215
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium;s__NA,0,0,0,2415,2499,2371,437,412,428,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2994,2930,3009,19757,19334,19790,4099,3994,4135,26744,26801,27006,153,143,135,28543,28394,28626,3,2,4,1,0,0,1136,1091,1145,21501,21458,21350,511,491,522
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__NA,1837,1811,1901,929,955,960,1133,1138,1124,89,93,101,4510,4541,4527,368,367,378,11205,11210,11284,793,780,799,15099,15349,15074,3842,3752,3706,15845,15691,15768,3359,3357,3382,18215,18206,18027,55,53,48,19129,19202,18990,0,0,0,0,0,0,844,836,856,7513,7455,7459,1426,1416,1445
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__SWB02;s__NA,20000,19783,20118,1048,1085,1056,3282,3321,3326,14,19,17,2827,2843,2841,273,240,259,17357,17743,17178,653,666,629,0,0,0,395,390,389,22106,22088,21997,3352,3303,3442,22920,22833,22686,39,41,44,7886,7843,8075,1,1,2,0,0,0,253,215,231,2610,2576,2682,341,336,346
k__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae;g__Paludibaculum;s__NA,6490,6603,6489,0,0,0,3592,3667,3636,11,11,14,23933,24164,23980,0,0,0,13700,13603,13613,124,122,128,7247,7336,7210,75,59,90,7885,7873,7912,1047,1056,1082,16037,15860,16084,7,4,9,10991,10872,11079,0,0,0,0,0,0,94,94,107,13709,13754,13715,129,109,150
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Sulfurisoma;s__NA,0,0,0,0,0,0,0,0,0,4,6,4,88878,88827,89025,380,391,386,0,0,0,410,414,396,3665,3581,3684,0,0,0,0,0,0,60,56,44,0,0,0,1,0,1,6613,6673,6637,0,0,0,0,0,0,55,51,63,2886,2786,2874,110,130,109
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__putida,0,0,0,35,20,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436,431,411,0,0,0,125,118,140,0,0,0,252,261,214,222,202,215,7,7,5,96002,96389,95736,6,5,6,0,0,0,1883,1916,1904,3332,3294,3328,446,429,415
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Frankiales;f__NA;g__NA;s__NA,377,356,362,69,64,76,323,320,309,1,0,0,180,200,200,215,214,197,20519,20413,20466,503,487,499,11912,11765,12094,907,866,936,8680,8774,8769,871,912,850,8559,8471,8447,14,14,17,25032,25098,25007,0,0,0,2,2,2,48,36,54,23430,23411,23537,368,335,356
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__NA;s__NA,19824,19996,19830,200,196,188,16,12,15,73,70,67,4270,4275,4340,831,874,840,5602,5594,5698,1252,1223,1306,458,476,455,1231,1224,1281,22641,22645,23037,1167,1177,1168,17664,17724,17807,134,125,131,22794,22783,22780,1,0,1,0,0,0,743,738,702,2016,1979,2001,801,787,796
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__PeM15;f__NA;g__NA;s__NA,0,0,0,2085,2104,2057,0,0,0,90,90,83,0,0,0,153,147,145,15192,15124,15545,388,391,379,6831,6852,6883,1297,1260,1340,16841,16854,16769,2899,2775,2942,24211,24189,24370,65,67,62,24166,24175,24105,7,6,5,0,0,0,775,724,776,6261,6290,6250,399,412,406
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__NA;s__NA,6066,6155,6079,478,475,485,1314,1311,1298,120,129,122,0,0,0,157,150,176,3125,3201,3228,146,124,157,1312,1336,1321,115,93,103,16288,16427,16447,3474,3459,3488,33896,33634,33962,30,30,30,30834,30880,30932,0,0,0,0,0,0,533,558,504,3331,3371,3237,409,391,404
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae;g__CL500-29_marine_group;s__NA,9214,9257,9218,851,848,881,890,893,889,57,64,57,0,0,0,0,0,0,1533,1582,1560,242,227,218,1666,1654,1664,260,269,279,29711,29830,29857,3651,3615,3594,39509,39489,39573,88,99,89,9412,9521,9387,12,14,11,0,0,0,986,953,1031,2270,2164,2314,64,60,66
k__Bacteria;p__Myxococcota;c__Polyangiia;o__Polyangiales;f__Sandaracinaceae;g__NA;s__NA,0,0,0,644,627,666,0,0,0,0,0,0,0,0,0,174,165,153,0,0,0,0,0,0,0,0,0,250,277,233,22679,22798,22640,7463,7589,7428,24980,24900,24835,49,57,49,27017,27019,27061,4,4,5,1,2,0,630,633,614,11353,11300,11350,2878,2746,2774
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Erythrobacter;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,12388,12324,12402,11161,11109,11195,0,0,0,6291,6292,6415,0,0,0,3615,3564,3571,0,0,0,0,0,0,563,562,587,10,5,12,24369,24622,24080,20,16,22,0,0,0,2418,2380,2334,1952,2007,1958,34981,34963,35164
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__elkanii,1472,1494,1508,233,227,233,0,0,0,87,92,80,12628,12646,12687,0,0,0,8275,8261,8214,0,0,0,21868,21914,21750,1419,1402,1389,7738,7556,7661,1428,1388,1406,5879,5912,5897,31,40,31,27524,27413,27688,0,0,0,0,0,0,530,494,550,8192,8170,8075,359,338,336
k__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__NA,14972,15096,15131,199,186,195,1307,1336,1328,26,29,29,1503,1465,1520,0,0,0,15509,15278,15645,0,0,0,0,0,0,95,88,106,18614,18476,18599,1594,1573,1619,28476,28410,28427,22,19,24,13585,13911,13511,0,0,0,0,0,0,103,89,100,1527,1494,1563,87,84,90
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__NA;s__NA,59,55,53,1405,1392,1427,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,216,205,209,0,0,0,792,834,832,26977,26911,27164,5045,4990,5044,41476,41335,41018,82,76,81,14096,14119,14073,8,7,10,0,0,0,988,1005,1010,3013,3051,3177,2929,3051,2879
k__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidiferrimicrobium;s__NA,1296,1269,1285,136,130,155,267,230,249,23,15,22,0,0,0,0,0,0,0,0,0,0,0,0,1187,1154,1199,80,82,83,22159,22221,22234,2724,2777,2730,23175,23392,22822,66,55,61,27627,27712,27689,0,0,0,0,0,0,213,205,209,16893,16967,16947,147,165,160
k__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__UTCFX1;s__NA,200,205,180,0,0,0,145,145,129,3,5,5,34276,34661,34432,0,0,0,10832,10945,10885,19,12,17,16119,15977,16092,25,28,30,1495,1488,1523,393,364,410,755,779,767,0,0,0,8039,8321,7881,1,2,0,0,0,0,129,138,108,21434,21233,21387,206,181,169
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Cellvibrionaceae;g__Cellvibrio;s__NA,707,749,707,1607,1625,1653,134,160,113,66,67,81,0,0,0,0,0,0,728,737,671,1581,1525,1602,2520,2585,2462,566,562,572,8458,8286,8379,7758,7925,7706,10204,10216,10193,23,26,18,37294,37326,37450,35,35,35,0,0,0,6882,6820,6944,9359,9283,9404,4209,4164,4114
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__PLTA13;f__NA;g__NA;s__NA,3122,3190,3104,181,191,158,1075,1075,1116,68,58,69,9741,9616,9824,153,154,133,8001,8046,8065,252,236,240,1041,1027,1032,40,24,26,17950,18087,18027,2634,2623,2698,9729,9593,9788,27,24,36,29559,29899,29290,1,1,1,0,0,0,307,279,280,7853,7914,7816,249,256,253
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiia;o__Opitutales;f__Opitutaceae;g__Oleiharenicola;s__NA,7821,7774,7862,197,184,187,3502,3480,3503,33,28,25,2465,2361,2454,66,61,72,4560,4503,4561,0,0,0,5726,5644,5786,235,229,236,15179,15075,15408,3855,3869,3875,26446,26343,26306,14,17,14,15669,15587,15721,3,1,2,0,0,0,665,649,679,4223,4209,4256,1191,1139,1147
k__Bacteria;p__Cyanobacteriota;c__Cyanobacteriia;o__Leptolyngbyales;f__Leptolyngbyaceae;g__NA;s__NA,401,421,383,48,40,53,0,0,0,28,23,30,46664,46448,47091,136,138,128,747,757,744,0,0,0,0,0,0,0,0,0,1883,1944,1897,735,736,715,4220,4176,4124,8,6,5,35765,35668,35573,1,2,0,0,0,0,71,78,65,276,276,263,0,0,0
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Chryseolinea;s__NA,1768,1831,1739,17,12,15,340,328,342,59,58,64,10283,10278,10111,50,46,53,11831,12032,11812,124,132,136,15641,15660,15580,626,666,619,7830,7848,7726,1467,1451,1567,9730,9772,9618,13,14,27,18521,19024,18561,0,0,0,0,0,0,139,150,129,11928,11983,12003,110,129,122
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga;s__taeniospiralis,1814,1770,1807,195,176,198,227,230,217,0,0,0,0,0,0,831,861,822,0,0,0,971,966,1028,0,0,0,466,527,447,1681,1645,1605,701,749,679,2429,2486,2398,8,5,13,55354,55510,55426,19,21,10,1,3,0,4780,4722,4799,6642,6568,6601,13960,13836,13844
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;s__NA,0,0,0,171,198,169,8,7,9,2,2,0,0,0,0,54,60,68,0,0,0,341,331,318,0,0,0,75,74,62,9215,9257,9241,5494,5474,5359,5759,5799,5743,5,6,4,56881,56848,56958,17,20,11,2,4,1,3107,3145,3164,42,36,40,6597,6635,6616
k__Bacteria;p__Actinomycetota;c__Actinobacteria;o__Micrococcales;f__Micrococcaceae;g__Arthrobacter;s__NA,3133,3189,3043,28,31,24,2071,2014,2070,38,42,37,0,0,0,0,0,0,943,874,900,48,45,38,1854,1859,1877,90,105,74,19095,19353,19094,1684,1699,1709,15430,15475,15298,10,9,7,33782,33907,33608,1,0,3,0,0,0,194,212,185,6134,6205,6082,432,424,430
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Cypionkella;s__NA,0,0,0,3689,3711,3814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1971,1967,1980,0,0,0,5324,5268,5240,8126,8207,8180,2680,2586,2678,17014,17280,17258,58,56,58,38971,39285,38873,17,15,18,0,0,0,3297,3442,3355,3206,3299,3192,497,499,495
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Hyphomicrobiales;f__A0839;g__NA;s__NA,20707,20752,20739,41,42,42,6266,6172,6342,0,0,0,0,0,0,124,141,121,11302,11227,11352,340,353,387,0,0,0,175,174,178,16860,16774,17071,1791,1785,1802,20330,20193,20320,15,17,13,4222,4072,4342,0,0,0,0,0,0,168,168,177,1910,1931,1983,244,271,231
k__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Beggiatoales;f__Leucotrichaceae;g__Pelagibaculum;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,79439,79473,79335,0,0,0,1022,1057,1066,0,0,0,604,591,643,0,0,0,111,108,99,81,97,99,89,91,72,0,0,0,2137,2135,2101,0,0,0,0,0,0,233,262,213,764,786,802,0,0,0
k__Bacteria;p__Acidobacteriota;c__Thermoanaerobaculia;o__Thermoanaerobaculales;f__Thermoanaerobaculaceae;g__Subgroup_10;s__NA,0,0,0,0,0,0,0,0,0,0,0,0,5111,5139,5191,66,55,63,5051,4987,5072,0,0,0,2999,3077,2960,170,166,159,9379,9516,9478,1080,1027,1032,3599,3534,3716,1,1,1,34901,34896,34570,0,0,0,0,0,0,289,247,293,20906,20912,20939,192,186,221
k__Bacteria;p__Latescibacterota;c__NA;o__NA;f__NA;g__NA;s__NA,4300,4312,4291,16,11,13,777,748,743,0,0,0,10463,10409,10355,8,6,5,4069,4165,4054,57,63,54,3582,3581,3535,55,64,59,9823,9876,9705,1189,1175,1181,13104,13097,13043,12,14,9,11248,11376,11307,1,0,0,0,0,0,45,49,50,24573,24798,24444,55,37,53
k__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Candidatus_Nomurabacteria;f__NA;g__NA;s__NA,1836,1828,1855,8348,8366,8343,590,624,636,188,183,191,4991,4999,4974,4815,4783,4840,2086,2153,2154,2593,2662,2562,8164,8130,8266,7609,7713,7651,3416,3481,3452,7928,7879,8087,4412,4391,4443,318,318,309,1528,1541,1530,64,68,71,0,0,0,4773,4774,4696,7662,7593,7636,11737,11762,11774
k__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Paracoccaceae;g__Gemmobacter;s__NA,0,0,0,122,128,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8981,8842,8886,0,0,0,39154,39549,39180,462,445,482,0,0,0,60,53,60,9,15,9,20198,20250,20172,5,5,5,0,0,0,1551,1517,1565,2632,2649,2731,9814,9739,9841
